"lab_id","parID"
"CEBL_290","brand_12"
"CEBL_289","brand_17"
"CEBL_257","brand_19"
"CEBL_200","brand_2"
"CEBL_239","brand_23"
"CEBL_178","brand_28"
"CEBL_187","brand_4"
"CEBL_84","brand_7"
"CEBL_256","dmk_101"
"CEBL_153","dmk_102"
"CEBL_159","dmk_103"
"CEBL_62","dmk_104"
"CEBL_242","dmk_105"
"CEBL_99","dmk_107"
"CEBL_307","dmk_108"
"CEBL_9","dmk_111"
"CEBL_336","dmk_114"
"CEBL_226","dmk_123"
"CEBL_37","dmk_127"
"CEBL_311","dmk_130"
"CEBL_248","dmk_133"
"CEBL_292","dmk_140"
"CEBL_207","dmk_143"
"CEBL_185","dmk_145"
"CEBL_250","dmk_146"
"CEBL_140","dmk_147"
"CEBL_41","dmk_149"
"CEBL_170","dmk_151"
"CEBL_252","dmk_156"
"CEBL_260","dmk_160"
"CEBL_149","dmk_162"
"CEBL_228","dmk_163"
"CEBL_213","dmk_165"
"CEBL_24","dmk_166"
"CEBL_122","dmk_167"
"CEBL_33","port_1011"
"CEBL_112","port_1041"
"CEBL_265","port_1052"
"CEBL_299","port_1072"
"CEBL_180","port_1131"
"CEBL_184","port_1291"
"CEBL_174","port_1331"
"CEBL_287","port_1381"
"CEBL_278","port_1421"
"CEBL_382","r01_004"
"CEBL_383","r01_005"
"CEBL_388","r01_011"
"CEBL_395","r01_018"
"CEBL_332","r01_026"
"CEBL_310","r01_028"
"CEBL_114","r01_030"
"CEBL_405","r01_037"
"CEBL_409","r01_041"
"CEBL_411","r01_043"
"CEBL_413","r01_045"
"CEBL_417","r01_049"
"CEBL_422","r01_054"
"CEBL_439","r01_073"
"CEBL_440","r01_074"
"CEBL_443","r01_077"
"CEBL_449","r01_083"
"CEBL_460","r01_094"
"CEBL_363","r01_109"
"CEBL_365","r01_114"
"CEBL_357","r01_116"
"CEBL_72","r01_119"
"CEBL_371","r01_131"
"CEBL_360","r01_133"
"CEBL_271","trt_108A"
"CEBL_76","trt_112A"
"CEBL_182","trt_121B"
"CEBL_343","trt_132A"
"CEBL_344","trt_133B"
"CEBL_349","trt_138A"
