"lab_id","parID"
"CEBL_69","brand_10"
"CEBL_106","brand_11"
"CEBL_290","brand_12"
"CEBL_314","brand_15"
"CEBL_289","brand_17"
"CEBL_59","brand_18"
"CEBL_257","brand_19"
"CEBL_200","brand_2"
"CEBL_258","brand_20"
"CEBL_183","brand_21"
"CEBL_107","brand_22"
"CEBL_239","brand_23"
"CEBL_224","brand_24"
"CEBL_204","brand_25"
"CEBL_178","brand_28"
"CEBL_187","brand_4"
"CEBL_312","brand_6"
"CEBL_84","brand_7"
"CEBL_181","brand_9"
"CEBL_256","dmk_101"
"CEBL_153","dmk_102"
"CEBL_159","dmk_103"
"CEBL_62","dmk_104"
"CEBL_242","dmk_105"
"CEBL_117","dmk_106"
"CEBL_99","dmk_107"
"CEBL_307","dmk_108"
"CEBL_111","dmk_109"
"CEBL_324","dmk_110"
"CEBL_9","dmk_111"
"CEBL_167","dmk_112"
"CEBL_173","dmk_113"
"CEBL_336","dmk_114"
"CEBL_63","dmk_115"
"CEBL_328","dmk_116"
"CEBL_236","dmk_118"
"CEBL_196","dmk_119"
"CEBL_218","dmk_120"
"CEBL_223","dmk_122"
"CEBL_226","dmk_123"
"CEBL_199","dmk_125"
"CEBL_212","dmk_126"
"CEBL_37","dmk_127"
"CEBL_102","dmk_129"
"CEBL_311","dmk_130"
"CEBL_2","dmk_131"
"CEBL_248","dmk_133"
"CEBL_286","dmk_134"
"CEBL_57","dmk_135"
"CEBL_329","dmk_136"
"CEBL_125","dmk_138"
"CEBL_6","dmk_139"
"CEBL_292","dmk_140"
"CEBL_65","dmk_141"
"CEBL_118","dmk_142"
"CEBL_207","dmk_143"
"CEBL_53","dmk_144"
"CEBL_185","dmk_145"
"CEBL_250","dmk_146"
"CEBL_140","dmk_147"
"CEBL_41","dmk_149"
"CEBL_222","dmk_150"
"CEBL_170","dmk_151"
"CEBL_246","dmk_152"
"CEBL_244","dmk_153"
"CEBL_121","dmk_154"
"CEBL_55","dmk_155"
"CEBL_252","dmk_156"
"CEBL_298","dmk_157"
"CEBL_179","dmk_158"
"CEBL_143","dmk_159"
"CEBL_260","dmk_160"
"CEBL_82","dmk_161"
"CEBL_149","dmk_162"
"CEBL_228","dmk_163"
"CEBL_213","dmk_165"
"CEBL_24","dmk_166"
"CEBL_122","dmk_167"
"CEBL_172","dmk_168"
"CEBL_4","dmk_171"
"CEBL_33","port_1011"
"CEBL_152","port_1012"
"CEBL_112","port_1041"
"CEBL_264","port_1051"
"CEBL_265","port_1052"
"CEBL_211","port_1061"
"CEBL_299","port_1072"
"CEBL_30","port_1111"
"CEBL_300","port_1121"
"CEBL_180","port_1131"
"CEBL_52","port_1151"
"CEBL_1","port_1171"
"CEBL_25","port_1181"
"CEBL_105","port_1191"
"CEBL_216","port_1201"
"CEBL_282","port_1211"
"CEBL_318","port_1231"
"CEBL_103","port_1241"
"CEBL_203","port_1251"
"CEBL_68","port_1261"
"CEBL_176","port_1271"
"CEBL_240","port_1281"
"CEBL_184","port_1291"
"CEBL_150","port_1301"
"CEBL_174","port_1331"
"CEBL_189","port_1341"
"CEBL_287","port_1381"
"CEBL_280","port_1401"
"CEBL_209","port_1411"
"CEBL_278","port_1421"
"CEBL_66","port_1441"
"CEBL_5","port_1451"
"CEBL_326","port_1461"
"CEBL_110","port_1491"
"CEBL_155","port_1511"
"CEBL_380","r01_002"
"CEBL_381","r01_003"
"CEBL_382","r01_004"
"CEBL_383","r01_005"
"CEBL_73","r01_007"
"CEBL_386","r01_009"
"CEBL_388","r01_011"
"CEBL_395","r01_018"
"CEBL_293","r01_019"
"CEBL_398","r01_022"
"CEBL_399","r01_023"
"CEBL_332","r01_026"
"CEBL_310","r01_028"
"CEBL_114","r01_030"
"CEBL_400","r01_031"
"CEBL_403","r01_035"
"CEBL_404","r01_036"
"CEBL_405","r01_037"
"CEBL_406","r01_038"
"CEBL_409","r01_041"
"CEBL_411","r01_043"
"CEBL_413","r01_045"
"CEBL_416","r01_048"
"CEBL_417","r01_049"
"CEBL_419","r01_051"
"CEBL_422","r01_054"
"CEBL_423","r01_055"
"CEBL_424","r01_056"
"CEBL_426","r01_058"
"CEBL_434","r01_068"
"CEBL_435","r01_069"
"CEBL_436","r01_070"
"CEBL_439","r01_073"
"CEBL_440","r01_074"
"CEBL_441","r01_075"
"CEBL_443","r01_077"
"CEBL_444","r01_078"
"CEBL_446","r01_080"
"CEBL_449","r01_083"
"CEBL_450","r01_084"
"CEBL_456","r01_090"
"CEBL_459","r01_093"
"CEBL_460","r01_094"
"CEBL_461","r01_095"
"CEBL_462","r01_096"
"CEBL_354","r01_104"
"CEBL_379","r01_105"
"CEBL_363","r01_109"
"CEBL_376","r01_111"
"CEBL_365","r01_114"
"CEBL_356","r01_115"
"CEBL_357","r01_116"
"CEBL_243","r01_117"
"CEBL_352","r01_118"
