names,lunknown,runknown,lbankssts,rbankssts,lcaudalanteriorcingulate,rcaudalanteriorcingulate,lcaudalmiddlefrontal,rcaudalmiddlefrontal,lcorpuscallosum,rcorpuscallosum,lcuneus,rcuneus,lentorhinal,rentorhinal,lfusiform,rfusiform,linferiorparietal,rinferiorparietal,linferiortemporal,rinferiortemporal,listhmuscingulate,risthmuscingulate,llateraloccipital,rlateraloccipital,llateralorbitofrontal,rlateralorbitofrontal,llingual,rlingual,lmedialorbitofrontal,rmedialorbitofrontal,lmiddletemporal,rmiddletemporal,lparahippocampal,rparahippocampal,lparacentral,rparacentral,lparsopercularis,rparsopercularis,lparsorbitalis,rparsorbitalis,lparstriangularis,rparstriangularis,lpericalcarine,rpericalcarine,lpostcentral,rpostcentral,lposteriorcingulate,rposteriorcingulate,lprecentral,rprecentral,lprecuneus,rprecuneus,lrostralanteriorcingulate,rrostralanteriorcingulate,lrostralmiddlefrontal,rrostralmiddlefrontal,lsuperiorfrontal,rsuperiorfrontal,lsuperiorparietal,rsuperiorparietal,lsuperiortemporal,rsuperiortemporal,lsupramarginal,rsupramarginal,lfrontalpole,rfrontalpole,ltemporalpole,rtemporalpole,ltransversetemporal,rtransversetemporal,linsula,rinsula
brand_10_T1,1.9689,NaN,3.0304,2.8776,2.5773,2.6207,2.9476,2.8942,NaN,NaN,2.6032,2.5103,2.4975,2.5169,2.7768,2.5966,2.7896,2.6942,2.598,2.5831,2.1396,1.9672,2.6251,2.6114,2.273,2.3902,2.6864,2.6483,2.6474,2.6037,2.5381,2.3855,2.5901,2.5219,2.7901,2.7624,2.6695,2.9174,3.0373,2.8782,2.8718,2.7942,2.8404,2.6663,2.6154,2.7783,2.6051,2.5768,2.9311,2.7765,2.6304,2.7611,2.0344,2.0362,2.7608,2.7074,2.4078,2.3652,2.7083,2.6602,2.8358,2.8365,2.605,2.5996,2.5873,2.9677,2.4563,2.4379,2.228,2.1723,2.5786,2.3973
brand_11_T1,1.2275,NaN,3.0354,2.4008,2.7868,2.4645,3.1148,2.9772,NaN,NaN,2.3565,2.7749,2.5659,2.6427,2.644,2.5433,3.0086,2.995,2.3884,2.5957,2.1993,2.2594,2.5709,2.3905,2.4417,2.2351,2.6882,2.6604,2.5132,2.4871,2.6802,2.7637,2.3543,2.3013,2.4988,2.6272,2.6241,2.9015,2.6838,2.9686,2.7146,2.9178,2.4895,2.5798,2.8373,2.6651,2.7812,2.6973,2.7646,2.7289,2.6369,2.5643,1.9933,2.1468,2.6083,2.651,2.3694,2.4039,2.7316,2.6934,2.6672,2.8279,2.5108,2.6432,2.6213,2.7971,2.5045,2.3586,2.1682,2.3395,2.5908,2.3261
brand_12_T1,1.0823,NaN,2.8802,2.5822,2.8118,2.752,2.8559,2.9033,NaN,NaN,2.8478,2.7286,2.454,2.7292,2.6906,2.6061,2.7689,2.9584,2.7131,2.5078,2.0057,2.1785,2.4158,2.3741,2.3265,2.3831,2.865,2.747,2.8834,2.8774,2.6649,2.6257,2.6874,2.6963,2.4549,2.7573,2.899,3.081,2.4983,2.7383,2.7554,3.0573,2.6597,2.617,2.9643,2.6982,2.5794,2.7933,2.7737,2.7953,2.699,2.6833,2.012,2.0273,2.7224,2.593,2.4208,2.4336,2.5773,2.6542,2.816,2.7954,2.7275,2.6363,2.7343,3.1137,2.6956,2.3824,2.1792,2.3381,2.3835,2.2704
brand_15_T1,1.9589,NaN,2.7091,2.9422,2.5549,2.5833,3.2242,2.9613,NaN,NaN,2.7613,2.8018,2.7442,2.5793,2.4344,2.4997,2.8506,2.7637,2.4467,2.3341,2.1337,2.1255,2.3607,2.364,2.3741,2.2151,2.8404,2.704,2.6145,2.7122,2.8381,2.8049,2.7147,2.5607,2.6831,2.7032,2.7897,2.8122,2.7041,2.9914,2.8373,2.6344,2.2986,2.376,2.977,2.9131,2.7822,2.7139,2.8685,2.8605,2.7841,2.7862,1.8845,1.9945,2.5763,2.3998,2.3888,2.4318,2.7804,2.7953,2.8442,2.9064,2.5984,2.6814,2.8021,2.6676,2.7378,2.4611,2.5902,2.2065,2.49,2.3975
brand_17_T1,1.9037,NaN,3.1187,2.7737,2.8399,2.6436,2.6954,2.889,NaN,NaN,2.7701,2.8946,2.6355,2.696,2.4835,2.4384,2.8351,2.9208,2.4214,2.2971,2.0914,2.0448,2.5427,2.3985,2.4061,2.3875,2.8644,2.8147,2.6504,2.6668,2.4899,2.6811,2.4382,2.5335,2.6927,2.6464,2.7652,3.0431,2.7159,2.7112,2.6201,2.5632,2.5571,2.4604,3.1277,2.8295,2.5955,2.5676,2.8765,3.0401,2.8747,2.735,2.1155,1.9542,2.6585,2.7465,2.4267,2.4892,2.6665,2.7197,2.6758,2.776,2.7586,2.6152,2.344,2.4734,2.6555,2.3886,2.6005,2.5366,2.5484,2.4587
brand_18_T1,1.4148,NaN,3.0995,3.0973,2.6561,2.7514,2.7595,2.8474,NaN,NaN,2.6366,2.6842,2.4182,2.5199,2.8433,2.4205,2.6928,2.8423,2.5659,2.7158,2.0222,2.1848,2.5622,2.6095,2.284,2.3244,2.8084,2.7984,2.6782,2.5073,2.4777,2.6209,2.4172,2.6187,2.611,2.4773,2.9386,2.6472,3.2333,2.8701,2.7633,2.6949,2.379,2.4958,3.0199,2.8739,2.4542,2.4941,2.8427,2.7028,2.6305,2.6896,2.0068,2.1409,2.6416,2.5618,2.4147,2.3602,2.7015,2.6186,2.757,2.8066,2.8492,2.5875,2.742,2.8576,2.4718,2.5132,2.6517,2.0843,2.3814,2.2969
brand_19_T1,1.1677,NaN,2.9482,2.8194,2.9168,2.6062,3.1796,2.9486,NaN,NaN,2.9572,2.4177,2.42,2.4479,2.4491,2.4611,2.8503,2.741,2.4735,2.5186,1.8544,1.8976,2.5962,2.63,2.4079,2.4196,2.7279,2.758,2.5889,2.5444,2.722,2.6841,2.5313,2.4442,2.6647,2.6084,2.9016,3.0234,2.6002,2.8232,2.574,2.6435,2.5413,2.5818,2.7747,2.7189,2.7942,2.809,2.8501,2.8122,2.7486,2.6305,1.9675,2.1831,2.6535,2.5678,2.4547,2.4427,2.6612,2.723,2.8511,3.0331,2.7016,2.592,2.6656,2.582,2.5459,2.3751,2.3651,2.4692,2.3242,2.2835
brand_20_T1,1.9001,NaN,2.8158,2.6587,2.5532,2.5772,2.8604,2.9264,NaN,NaN,2.7952,2.7479,2.5652,2.3925,2.3282,2.3953,2.5,2.8435,2.3503,2.4309,2.1465,1.9146,2.5876,2.4013,2.4499,2.3287,2.8939,2.8109,2.5083,2.5325,2.688,2.6282,2.4724,2.731,2.543,2.4931,2.8383,2.5939,2.9887,2.8969,2.7128,2.8161,2.4614,2.3383,2.8427,2.979,2.7585,2.8853,2.7746,2.8128,2.5822,2.7447,1.9934,2.094,2.5851,2.5455,2.3668,2.3482,2.7004,2.8017,2.85,2.7774,2.6708,2.6302,2.5145,2.565,2.4091,2.6157,2.1674,2.1598,2.2438,2.2383
brand_21_T1,0.8201,NaN,2.9681,3.0608,3.0096,2.8109,2.9308,2.828,NaN,NaN,2.8123,2.6004,2.5142,2.4677,2.5971,2.4889,2.6676,2.9621,2.4208,2.5225,2.077,2.0976,2.5116,2.4939,2.5481,2.4431,2.8797,2.8702,2.6179,2.8473,2.819,2.7685,2.5659,2.6249,2.7189,2.6768,2.6548,2.8623,2.9413,2.8273,2.6997,2.4226,2.3165,2.4485,2.8883,3.0153,2.797,2.6458,2.957,2.7879,2.5571,2.5462,2.1971,2.1174,2.4234,2.5908,2.4649,2.4409,2.9121,2.7379,2.7788,2.7718,2.737,2.6258,2.7633,2.9243,2.6717,2.3519,2.402,2.3178,2.4558,2.3487
brand_22_T1,1.3,NaN,3.225,3.0577,2.2209,2.5425,3.0184,2.9008,NaN,NaN,2.4445,2.4557,2.461,2.4343,2.5404,2.6321,2.6606,3.0659,2.6606,2.5037,2.0925,2.1376,2.5597,2.5622,2.3516,2.3627,2.6231,2.6481,2.664,2.5403,2.6271,2.6213,2.7308,2.5862,2.6029,2.6453,2.8917,3.0428,2.8067,3.3224,2.7842,2.5224,2.6616,2.7034,3.0597,2.9513,2.9043,2.8286,2.8031,2.8697,2.6967,2.7178,1.9375,2.0929,2.4308,2.5406,2.3267,2.4444,2.7832,2.7259,2.7817,2.7958,2.8644,2.8022,2.5832,2.6495,2.5617,2.4972,2.6005,2.2316,2.4686,2.3671
