names,lunknown,runknown,lbankssts,rbankssts,lcaudalanteriorcingulate,rcaudalanteriorcingulate,lcaudalmiddlefrontal,rcaudalmiddlefrontal,lcorpuscallosum,rcorpuscallosum,lcuneus,rcuneus,lentorhinal,rentorhinal,lfusiform,rfusiform,linferiorparietal,rinferiorparietal,linferiortemporal,rinferiortemporal,listhmuscingulate,risthmuscingulate,llateraloccipital,rlateraloccipital,llateralorbitofrontal,rlateralorbitofrontal,llingual,rlingual,lmedialorbitofrontal,rmedialorbitofrontal,lmiddletemporal,rmiddletemporal,lparahippocampal,rparahippocampal,lparacentral,rparacentral,lparsopercularis,rparsopercularis,lparsorbitalis,rparsorbitalis,lparstriangularis,rparstriangularis,lpericalcarine,rpericalcarine,lpostcentral,rpostcentral,lposteriorcingulate,rposteriorcingulate,lprecentral,rprecentral,lprecuneus,rprecuneus,lrostralanteriorcingulate,rrostralanteriorcingulate,lrostralmiddlefrontal,rrostralmiddlefrontal,lsuperiorfrontal,rsuperiorfrontal,lsuperiorparietal,rsuperiorparietal,lsuperiortemporal,rsuperiortemporal,lsupramarginal,rsupramarginal,lfrontalpole,rfrontalpole,ltemporalpole,rtemporalpole,ltransversetemporal,rtransversetemporal,linsula,rinsula
brand_10_T1,3.5356,NaN,3.3626,3.6592,2.1288,2.1069,2.9993,2.5828,NaN,NaN,2.3509,2.0288,2.9774,2.7217,3.6362,3.3455,2.8543,2.5756,2.3785,2.2115,2.5739,2.6678,1.9681,1.8598,3.6395,3.5401,3.2986,3.1897,1.9698,1.9162,2.276,2.0568,3.8064,3.9328,2.6581,2.5609,3.2636,3.2928,1.9413,1.6883,2.9968,2.6502,3.0698,3.0687,2.5815,2.472,2.3444,2.3333,2.946,2.7808,2.7628,2.6281,2.5603,2.2192,2.3677,2.3384,2.1823,2.0152,2.8929,2.6673,3.0427,2.7957,2.9936,2.915,1.0419,1.1638,2.4511,2.5917,4.7356,4.4854,4.8326,4.8114
brand_11_T1,4.102,NaN,2.744,3.5824,2.3087,2.0679,2.7267,2.8379,NaN,NaN,2.7416,2.2617,2.7354,2.6914,3.4568,3.3914,2.6888,2.5169,2.5522,2.3304,2.7993,2.5357,2.0617,1.7481,3.4027,3.5811,3.4834,2.7912,1.8893,2.0192,2.3099,2.1137,3.8126,3.6827,2.5155,2.34,3.3731,3.3956,2.2559,2.4736,3.214,2.7784,3.125,2.5964,2.708,2.6357,2.3267,2.2803,2.9683,2.9262,3.0157,2.511,2.6264,2.3855,2.384,2.6221,2.1001,2.0931,2.7755,2.6671,3.3993,3.1314,2.9624,2.8953,0.6994,1.1023,2.3477,2.8747,4.8789,4.6618,5.091,5.0513
brand_12_T1,4.0483,NaN,3.2407,3.5125,2.1552,2.371,2.7944,2.7113,NaN,NaN,2.6309,1.9912,2.92,2.7363,3.4767,3.2418,2.5433,2.4726,2.3279,2.2086,2.7476,2.7719,1.7858,1.7455,3.3751,3.5633,3.6484,3.3291,1.9676,1.9896,2.0726,2.2103,4.0491,4.1209,2.5152,2.2703,3.421,3.4451,2.1112,2.0136,3.0164,2.8352,3.5157,2.9451,2.5748,2.5134,2.3888,2.066,2.9404,2.9133,2.9123,2.7107,2.4047,2.1913,2.3392,2.3503,2.0832,2.0295,2.7081,2.492,3.3748,3.286,2.974,3.1678,1.3567,1.4051,2.1464,2.8871,5.0812,5.0288,5.1406,5.1798
brand_15_T1,3.8811,NaN,2.8273,3.8338,2.0521,2.038,2.8632,2.8161,NaN,NaN,2.5609,2.1627,2.9932,3.0176,3.0762,3.2065,2.6159,2.5342,2.5785,2.4986,2.5706,2.4022,2.0603,1.9647,3.6067,3.6936,3.4176,3.1689,1.9833,1.9564,2.1081,2.2505,3.7518,3.8824,2.5234,2.4653,3.4183,3.6869,2.2656,2.1642,2.9938,2.6079,3.0276,2.883,2.6512,2.7706,2.2169,2.0008,2.7768,2.8955,2.8319,2.5772,2.2633,2.0377,2.2079,2.3354,2.0593,2.0888,2.8826,2.9599,3.3666,3.3117,2.775,3.1755,1.2019,1.4121,2.4984,3.1212,4.8905,4.9389,5.1399,5.0855
brand_17_T1,4.1962,NaN,3.9093,3.841,2.3695,2.4323,3.0243,2.585,NaN,NaN,2.8395,2.3043,3.1254,3.1988,3.2132,3.2924,2.6773,2.5545,2.3255,2.4149,2.9266,2.5142,2.1214,1.9418,3.7525,3.646,3.671,3.2402,2.0846,1.8272,2.3217,2.2213,4.1169,3.9521,2.7125,2.6275,3.4267,3.5242,2.1826,2.3541,3.2174,2.7667,3.7129,3.1165,2.7319,2.7867,2.5378,2.3289,2.964,2.9508,3.1629,2.7782,2.3788,2.2086,2.3877,2.5522,2.2432,2.1514,2.9101,2.7297,3.4475,3.5107,2.9536,3.2388,1.275,1.2819,2.8405,3.2181,5.1015,5.2645,5.2917,5.2962
brand_18_T1,3.5832,NaN,3.2379,3.2881,2.1503,2.2292,2.9009,2.6297,NaN,NaN,2.6146,1.8383,2.4739,2.6321,3.4442,3.3893,2.5501,2.5059,2.329,2.0377,2.4633,2.3826,1.7644,1.7972,3.6024,3.5128,3.3846,2.8174,1.9025,1.7576,2.2041,2.126,3.6653,3.8356,2.316,2.4249,3.4175,3.3849,2.0229,1.7214,3.0014,2.6891,3.203,2.8202,2.5812,2.4113,2.2255,2.3778,2.7398,2.6964,2.8234,2.4107,2.2957,2.0966,2.2212,2.2844,2.0785,1.9314,2.7369,2.4814,3.1389,3.0216,2.9138,3.0878,1.1329,1.1726,2.2144,2.6654,4.7125,4.4853,4.948,4.9667
brand_19_T1,3.6571,NaN,3.6557,3.5478,2.2165,2.1391,2.6924,2.6851,NaN,NaN,2.4692,2.3863,2.0442,2.3486,3.1143,3.037,2.8011,2.8827,2.3783,2.2285,2.3804,2.8255,2.0338,1.9409,3.5034,3.4299,3.0381,3.4099,2.0703,2.0062,2.1867,2.1205,3.3148,3.8222,2.4234,2.4279,3.6337,3.5212,2.3706,2.1583,2.9977,2.8045,3.2111,3.0949,2.6133,2.5541,2.2411,2.3952,2.8617,2.8145,2.7205,2.7965,2.343,2.1942,2.3684,2.3017,2.087,2.0265,2.672,2.5579,3.2707,3.1286,3.0719,3.1977,1.1095,1.2713,2.0387,2.6873,4.8933,4.7504,5.032,5.0526
brand_20_T1,3.649,NaN,3.7531,3.8202,1.9632,2.1255,2.7458,2.7154,NaN,NaN,2.1023,1.8761,2.3857,2.3274,3.2932,3.2872,2.4502,2.5719,2.1833,2.25,2.507,2.2415,1.9328,1.9234,3.535,3.5125,3.3191,2.7397,1.8425,1.8386,2.0674,2.1137,3.5888,3.6179,2.2203,2.1512,3.2058,3.2732,1.9121,1.7016,2.8327,2.75,3.0703,2.5601,2.5165,2.4181,2.1308,1.8198,2.7923,2.6903,2.5155,2.3453,2.1072,2.1834,2.1953,2.1772,1.8201,1.9458,2.6827,2.6203,3.0956,3.0893,2.6664,3.0878,1.044,0.8825,2.018,2.4112,4.4993,4.5033,4.8071,4.7509
brand_21_T1,4.1208,NaN,3.468,3.6352,2.4494,2.2711,3.0655,3.0744,NaN,NaN,2.6532,2.26,2.6386,2.5303,3.2355,3.3864,2.6778,2.6158,2.365,2.339,2.6724,2.6316,2.0013,1.8837,3.5904,3.6226,3.393,2.959,2.0089,1.9491,2.4067,2.3241,3.6236,3.8734,2.5225,2.385,3.5733,3.9431,2.1998,2.255,3.3281,2.9214,3.3956,2.8824,2.8543,2.7387,2.3361,2.1982,3.024,3.0066,2.9674,2.5995,2.4628,2.1409,2.3233,2.4626,2.2366,2.2257,2.896,2.6804,3.4946,3.3723,3.2025,3.1624,1.0728,1.2041,2.4311,2.898,5.0659,5.1053,5.1326,5.3036
brand_22_T1,4.2213,NaN,3.6817,3.735,1.9872,2.0895,2.9873,2.7591,NaN,NaN,2.6684,2.1081,2.5277,2.4658,3.3843,3.2022,2.682,2.7664,2.4967,2.3486,2.7334,2.7051,1.9241,2.0779,3.5895,3.641,3.746,3.2067,1.8682,1.8742,2.1301,2.1318,3.9725,3.7549,2.3856,2.4523,3.5119,3.6551,2.0011,2.0168,2.9669,2.7079,3.4392,3.1303,2.6747,2.7158,2.1579,2.2418,2.9622,2.8813,2.7962,2.6089,2.6305,2.1066,2.257,2.3202,2.1672,2.0236,2.8323,2.741,3.4773,3.2658,2.9406,3.2415,1.2892,1.2621,2.2632,2.3076,4.8992,4.8436,5.0035,5.0456
