names,lStriatum,lGloPal,lTha,lAntCerebLI_II,lAntCerebLIII,lAntCerebLIV,lAntCerebLV,lSupPostCerebLVI,lSupPostCerebCI,lSupPostCerebCII,lSupPostCerebLVIIB,lInfPostCerebLVIIIA,lInfPostCerebLVIIIB,lInfPostCerebLIX,lInfPostCerebLX,lAntCerebWM,lAmy,lHCA1,lSub,lFor,lCA4,lCA2_3,lStratum,lFimbra,lMamBody,lAlveus,rStriatum,rGloPal,rTha,rAntCerebLI_II,rAntCerebLIII,rAntCerebLIV,rAntCerebLV,rSupPostCerebLVI,rSupPostCerebCI,rSupPostCerebCII,rSupPostCerebLVIIB,rInfPostCerebLVIIIA,rInfPostCerebLVIIIB,rInfPostCerebLIX,rInfPostCerebLX,rAntCerebWM,rAmy,rHCA1,rSub,rFor,rCA4,rCA2_3,rStratum,rFimbra,rMamBody,rAlveus
brand_10_T1,10.3333,0.3171,5.5568,0.0597,0.6522,1.6201,3.683,7.9306,12.3072,7.672,4.4108,5.2996,3.2015,2.7987,0.5713,0.6939,1.3544,0.8591,0.2673,0.1425,0.7283,0.1243,0.5531,0.0562,0.0192,0.3616,10.1385,0.2607,5.499,0.0878,0.7267,1.5024,3.6825,8.5288,12.1337,7.9495,4.4005,4.2363,3.1357,2.8721,0.5549,0.7244,1.3229,0.8894,0.2677,0.1128,0.6726,0.1566,0.5104,0.0617,0.0244,0.3278
brand_11_T1,9.0695,0.296,5.5942,0.057,0.5408,1.6259,3.7827,7.5155,11.4934,7.7677,4.5128,5.5373,2.85,2.5253,0.5442,0.5307,1.3961,0.8277,0.2653,0.161,0.7241,0.1377,0.561,0.0462,0.021,0.3762,9.1647,0.2885,5.4339,0.0869,0.6699,1.4486,3.6795,8.3315,10.9719,7.8252,4.8741,4.6703,2.9595,2.6251,0.6199,0.6449,1.3529,0.8526,0.2771,0.1624,0.6641,0.1479,0.4999,0.0535,0.0216,0.3233
brand_12_T1,11.2605,0.3296,5.7268,0.0591,0.7605,1.961,4.0424,8.2216,13.3613,7.9766,4.3374,5.5649,3.0945,2.7715,0.4916,0.6246,1.5016,0.8839,0.3001,0.1208,0.7665,0.1264,0.5788,0.0547,0.0241,0.393,11.3915,0.392,5.9805,0.0958,0.7924,1.5484,3.8711,9.114,13.482,8.439,4.7695,4.5154,3.2227,2.9027,0.613,0.68,1.4863,0.9857,0.2927,0.1677,0.7725,0.174,0.5996,0.0784,0.0215,0.3756
brand_15_T1,10.2749,0.2637,5.924,0.0533,0.684,1.7987,4.0424,7.7558,11.519,7.478,4.1779,5.4641,3.1691,3.4457,0.5091,0.7155,1.3969,0.8404,0.2871,0.1729,0.6947,0.1026,0.5259,0.046,0.019,0.3195,10.4937,0.3092,6.1572,0.0791,0.8,1.5628,3.7541,8.2932,11.6566,8.0175,4.4091,4.2487,3.0393,3.3363,0.5607,0.796,1.389,0.8689,0.2974,0.1883,0.6669,0.1543,0.5047,0.0519,0.0212,0.3167
brand_17_T1,11.0074,0.4374,5.7963,0.0506,0.614,1.932,3.9864,7.8673,11.3068,7.0578,4.2061,5.6813,3.4157,3.4434,0.5822,0.7224,1.4219,0.8276,0.2885,0.162,0.7186,0.1283,0.541,0.0486,0.0241,0.3652,10.8065,0.4804,5.9828,0.0786,0.8189,1.6283,3.931,8.4819,11.2806,8.0863,4.41,4.265,3.2307,3.155,0.5945,0.8219,1.4218,0.8723,0.2677,0.1689,0.7183,0.1575,0.5279,0.08,0.0331,0.3291
brand_18_T1,8.7048,0.3619,5.3184,0.0321,0.5217,1.4732,3.334,7.1853,10.3858,6.3554,3.5536,4.3636,2.3922,2.3111,0.4288,0.5625,1.2616,0.7664,0.2613,0.1477,0.6735,0.119,0.484,0.0504,0.0227,0.3378,8.8075,0.3523,5.5707,0.0588,0.6195,1.2657,3.3213,7.8559,10.7627,7.0328,3.8127,3.2815,2.2804,2.2609,0.4439,0.6463,1.2397,0.8454,0.2464,0.177,0.66,0.1557,0.4782,0.0637,0.0259,0.3037
brand_19_T1,8.9945,0.4648,5.5586,0.0542,0.6507,1.8322,4.025,7.9123,12.4435,8.789,4.7541,5.8777,3.1569,3.2509,0.5355,0.7636,1.3328,0.7589,0.277,0.1787,0.6691,0.113,0.4766,0.0727,0.022,0.3542,8.8445,0.3849,5.5275,0.0917,0.6605,1.597,4.0313,9.253,12.4314,8.9868,5.3374,4.7308,3.127,3.269,0.5436,0.8065,1.2355,0.7877,0.2523,0.1907,0.6142,0.1232,0.4491,0.068,0.0252,0.2587
brand_20_T1,9.6836,0.4207,5.085,0.0604,0.6062,1.7868,3.6805,8.2443,12.8294,8.2037,4.4988,5.9449,3.2787,2.7598,0.5927,0.6282,1.3217,0.7792,0.2658,0.1496,0.7033,0.1182,0.5087,0.0587,0.0225,0.3511,9.7013,0.3773,5.2048,0.0838,0.7645,1.5161,3.6079,9.075,13.5547,9.2413,4.9553,4.5807,3.2483,2.8008,0.6171,0.7441,1.225,0.8105,0.2519,0.1555,0.6515,0.157,0.4454,0.0787,0.0162,0.3048
brand_21_T1,9.7905,0.2606,5.5117,0.0451,0.5345,1.559,3.6229,7.7569,12.4276,7.7034,4.0191,5.0155,2.7033,2.8031,0.4096,0.7035,1.4814,0.9113,0.321,0.1998,0.8,0.154,0.5791,0.0802,0.0251,0.392,9.8212,0.2518,5.2142,0.0561,0.607,1.3107,3.527,8.854,11.7881,7.478,4.5016,4.1435,2.8759,2.6729,0.4265,0.6696,1.4718,0.9712,0.2963,0.2188,0.7667,0.1696,0.565,0.0587,0.0274,0.3597
brand_22_T1,9.9797,0.3251,5.1245,0.0671,0.7179,2.0357,4.189,7.9286,11.4303,7.826,4.2314,5.4324,3.1845,2.8195,0.5654,0.6946,1.4215,0.7919,0.2754,0.1285,0.7237,0.1352,0.5594,0.0603,0.0243,0.4085,9.8891,0.331,5.3074,0.0952,0.89,1.6073,3.7678,9.0408,11.7058,8.1791,4.6798,4.4178,3.2532,2.9743,0.5893,0.6985,1.3001,0.8801,0.26,0.2003,0.7438,0.1747,0.5317,0.0843,0.0281,0.3394
brand_23_T1,10.2412,0.5262,5.1485,0.057,0.5816,1.6421,3.3102,6.5764,10.4995,7.4819,3.9154,4.8154,2.7164,2.8239,0.537,0.5457,1.2725,0.719,0.2566,0.1658,0.5798,0.097,0.4847,0.0426,0.0296,0.329,10.28,0.5545,5.1409,0.071,0.634,1.4209,3.3188,7.2033,10.5597,7.6753,4.1424,3.8617,2.7207,2.6703,0.5398,0.5784,1.2151,0.6256,0.2586,0.1794,0.527,0.114,0.4142,0.0388,0.0281,0.2481
brand_24_T1,9.2185,0.2571,5.2403,0.0528,0.6063,1.6475,3.3358,6.7632,11.4515,7.2587,4.0246,5.1291,2.8043,2.7587,0.3774,0.5923,1.2178,0.8199,0.2571,0.1421,0.7045,0.1437,0.5535,0.0828,0.0121,0.3501,9.3141,0.2983,5.5515,0.0728,0.6969,1.4226,3.2258,7.4273,11.2719,7.0013,3.9843,3.718,2.8503,2.7386,0.4441,0.6801,1.2546,0.8642,0.266,0.1908,0.6881,0.1616,0.5012,0.0726,0.0236,0.3003
brand_25_T1,9.9497,0.345,5.3481,0.0441,0.5779,1.5922,3.5095,7.4603,12.2509,7.5288,3.9785,5.0338,2.8688,2.9634,0.5002,0.6381,1.2872,0.7194,0.2771,0.1273,0.6162,0.0923,0.4673,0.0375,0.0184,0.313,10.0428,0.4131,5.5625,0.0696,0.6182,1.5365,3.6431,8.8128,12.5633,7.7893,4.2341,3.7794,2.7579,2.7424,0.4936,0.6154,1.2639,0.8161,0.2589,0.1835,0.6588,0.137,0.4871,0.0464,0.0165,0.3052
brand_28_T1,11.108,0.3718,6.0091,0.0601,0.8319,2.232,4.8101,9.413,14.1611,8.827,4.8764,6.2872,3.6644,3.1823,0.5341,0.756,1.5533,0.8677,0.3182,0.1271,0.7707,0.1321,0.6238,0.0572,0.0271,0.3716,11.0513,0.3598,6.1757,0.113,0.9241,2.1141,4.6776,10.2765,13.9131,9.8203,5.2846,4.4573,3.0766,3.0135,0.5997,0.8267,1.5407,0.8907,0.3088,0.1724,0.738,0.167,0.5494,0.072,0.0322,0.34
brand_2_T1,8.4284,0.4078,5.7859,0.0663,0.7303,2.1674,4.3394,8.2224,12.7602,8.8127,4.7959,5.9296,3.441,3.465,0.5964,0.6499,1.3731,0.7912,0.3023,0.1436,0.6707,0.088,0.5271,0.04,0.0233,0.335,8.5214,0.3825,5.7003,0.0936,0.836,1.8429,4.4821,9.1958,12.9556,9.1955,5.3059,4.6916,3.4591,3.4022,0.5946,0.7774,1.3067,0.8838,0.2932,0.1386,0.6971,0.1607,0.5389,0.0486,0.029,0.3473
brand_4_T1,10.1016,0.2219,5.1088,0.0664,0.6918,1.8518,3.8817,7.4081,11.3083,7.7828,4.3015,5.7893,3.4069,2.8737,0.4289,0.7317,1.3964,0.8102,0.3029,0.1469,0.7052,0.112,0.536,0.045,0.0276,0.3477,10.1231,0.2668,5.2946,0.0975,0.7647,1.6011,3.6087,8.473,10.1616,7.9357,4.3087,4.1989,3.1161,2.6448,0.4198,0.8162,1.2994,0.8637,0.2728,0.1722,0.6689,0.1422,0.5099,0.0552,0.0213,0.3007
brand_6_T1,9.3759,0.2362,4.9078,0.0754,0.7376,1.8595,4.0871,8.7704,12.7175,7.1798,4.2087,5.5419,2.8981,2.3433,0.5402,0.6589,1.4416,0.6696,0.2758,0.1597,0.5969,0.1056,0.4516,0.0647,0.0188,0.3017,9.4975,0.2429,4.7969,0.1016,0.7789,1.663,3.8668,9.1991,12.75,8.4039,4.8072,4.0299,2.7057,2.3447,0.5032,0.8295,1.3466,0.7863,0.2335,0.2287,0.62,0.1545,0.4621,0.0507,0.0238,0.3023
brand_7_T1,9.745,0.4443,5.8467,0.0621,0.6315,1.7743,3.8947,7.492,10.3574,6.2894,3.5287,4.9402,3.0072,2.6404,0.5001,0.6787,1.2951,0.8765,0.3005,0.1942,0.749,0.148,0.5776,0.0737,0.0269,0.3611,9.7768,0.5396,6.0667,0.0899,0.7287,1.4638,3.6577,8.1435,10.4386,7.1294,3.6802,3.6719,2.8092,2.3885,0.5074,0.7384,1.3206,0.9084,0.3243,0.1996,0.7403,0.1697,0.5351,0.0603,0.0289,0.3006
brand_9_T1,8.3854,0.4089,4.2581,0.0495,0.6697,1.5322,3.1711,6.5811,9.6363,5.5435,3.2959,4.3183,2.5379,2.4973,0.5,0.5989,1.1897,0.711,0.2561,0.1223,0.6374,0.1103,0.4751,0.068,0.0246,0.3304,8.4587,0.36,4.3505,0.0853,0.735,1.3222,3.1643,7.4456,9.6078,5.6675,3.3958,3.275,2.5548,2.4915,0.4787,0.7021,1.1759,0.8416,0.262,0.1637,0.6592,0.1518,0.4582,0.0703,0.0259,0.2832
dmk_101_T1,9.1804,0.3637,4.8533,0.0569,0.5738,1.7237,3.2589,6.806,11.5561,7.5178,3.6906,4.5736,2.5215,2.6254,0.4667,0.6045,1.1639,0.7622,0.2542,0.1167,0.6458,0.1181,0.4909,0.0478,0.0246,0.3168,9.3441,0.3809,5.2371,0.0804,0.705,1.4494,3.3822,7.9099,11.9134,7.5088,4.0551,3.7219,2.521,2.4823,0.5513,0.7354,1.2189,0.7737,0.268,0.1365,0.6124,0.1292,0.4384,0.0461,0.0277,0.2834
dmk_102_T1,9.2277,0.2476,4.7674,0.0562,0.596,1.7096,3.6371,7.787,12.4934,7.6042,4.6921,5.5768,2.905,2.7742,0.5184,0.7642,1.2488,0.703,0.3103,0.1221,0.6269,0.0928,0.4632,0.0339,0.0237,0.3058,9.4896,0.2808,4.8027,0.0915,0.679,1.5092,3.4972,8.0147,12.1338,8.5583,4.9945,4.2749,2.7487,2.7689,0.5778,0.8162,1.2685,0.8197,0.2667,0.1585,0.6492,0.1323,0.4735,0.049,0.028,0.278
dmk_103_T1,9.0182,0.4559,5.5201,0.0684,0.5583,1.5525,3.4064,6.4069,10.9309,6.9312,3.8228,4.9545,3.0116,2.5379,0.4827,0.5863,1.2558,0.7102,0.2841,0.1373,0.6572,0.1038,0.502,0.0398,0.0246,0.3389,9.0721,0.4988,5.5928,0.0839,0.5914,1.2935,3.2694,7.5841,10.9574,7.6215,4.4376,4.0243,2.638,2.045,0.5229,0.6322,1.2458,0.8467,0.2603,0.1729,0.6813,0.158,0.4674,0.0561,0.0226,0.2978
dmk_104_T1,9.9888,0.3602,5.4952,0.0526,0.5984,1.7001,3.0915,6.4009,9.6238,5.628,3.3275,4.7211,2.5416,2.1803,0.5008,0.5644,1.2275,0.7983,0.2849,0.1603,0.713,0.1213,0.5334,0.0536,0.0324,0.3527,10.1313,0.3442,5.7079,0.0844,0.7052,1.5092,3.0302,6.8354,9.364,6.5672,3.3941,3.2469,2.3763,2.0018,0.47,0.6092,1.2655,0.9001,0.2964,0.1512,0.7332,0.187,0.4999,0.0572,0.0157,0.3075
dmk_105_T1,8.836,0.334,4.7345,0.0403,0.4728,1.3249,2.9153,6.5844,9.5613,5.5805,3.4897,4.6444,2.469,1.9188,0.3244,0.6174,1.1909,0.6695,0.2469,0.2006,0.5797,0.092,0.4406,0.0625,0.0236,0.3047,8.9538,0.3426,4.7677,0.0693,0.607,1.056,3.0801,7.3394,9.2682,5.6098,3.7486,3.3488,2.262,1.88,0.4692,0.7951,1.2104,0.7386,0.2492,0.2274,0.5649,0.131,0.4076,0.073,0.0258,0.2678
dmk_106_T1,10.5598,0.2712,4.9888,0.0441,0.6146,1.6027,3.4436,6.8984,10.3689,7.2644,4.082,5.1887,2.9982,2.419,0.4899,0.6783,1.4236,0.768,0.3138,0.1329,0.7063,0.1147,0.5223,0.0594,0.0256,0.374,10.8795,0.3012,5.0477,0.0808,0.708,1.378,3.2557,7.4905,11.027,7.657,4.5712,4.0089,2.6335,2.4469,0.4587,0.7211,1.4138,0.9274,0.3045,0.2036,0.7349,0.1651,0.5068,0.0706,0.0226,0.3222
dmk_107_T1,9.5852,0.2957,5.679,0.0561,0.6387,1.7203,3.7774,7.5981,13.4495,7.9389,3.8661,5.5399,3.2499,2.9929,0.4977,0.8254,1.2257,0.7776,0.2712,0.1635,0.6806,0.1395,0.5298,0.0444,0.0216,0.3565,10.0857,0.3713,5.6352,0.0894,0.7194,1.5667,3.7199,8.2329,12.0087,8.0178,4.1544,3.9357,2.9454,2.5405,0.5395,0.8666,1.3504,0.9075,0.2579,0.2103,0.7086,0.1638,0.5225,0.055,0.0274,0.3304
dmk_108_T1,9.6734,0.3989,4.9179,0.0451,0.6153,1.6255,3.2528,6.9995,11.699,6.884,3.6773,4.5816,2.7765,2.5077,0.4171,0.5565,1.2158,0.7378,0.2602,0.1592,0.6648,0.1254,0.5126,0.061,0.0248,0.3362,9.6555,0.3197,4.7873,0.063,0.6861,1.3511,3.1871,7.1027,10.9955,7.2305,3.8466,3.6712,2.703,2.401,0.4701,0.6524,1.1745,0.8022,0.2605,0.1778,0.6563,0.1532,0.4687,0.0546,0.0259,0.3042
dmk_109_T1,8.5919,0.3679,4.9407,0.0374,0.5298,1.6721,3.5432,6.8812,11.371,6.2514,3.2484,4.3224,2.8311,2.5435,0.5292,0.6809,1.1881,0.771,0.2726,0.1361,0.6312,0.1096,0.5336,0.0514,0.0254,0.3118,8.6458,0.3277,5.192,0.0611,0.687,1.4883,3.1356,7.2583,10.7082,6.5883,3.5708,3.699,2.8546,2.6498,0.509,0.757,1.1838,0.8136,0.2899,0.1951,0.6773,0.1486,0.4976,0.0629,0.0306,0.2882
dmk_110_T1,10.1803,0.4122,6.1121,0.068,0.7315,1.8963,3.8138,7.6131,13.1874,8.0645,4.1894,5.7518,3.5914,3.3504,0.5713,0.6563,1.3287,0.817,0.3311,0.1691,0.6826,0.109,0.5541,0.0503,0.0078,0.3161,10.4933,0.385,6.1911,0.1032,0.7743,1.6525,3.9222,8.7969,13.0718,8.5428,4.9257,4.7662,3.7066,3.2317,0.5873,0.7853,1.4132,0.8702,0.2884,0.2038,0.7213,0.1669,0.5392,0.0579,0.0098,0.3308
dmk_111_T1,9.4612,0.3562,5.1159,0.0489,0.5826,1.6674,3.4157,6.7488,11.1473,6.2255,3.142,4.2175,2.4377,2.1514,0.4349,0.5001,1.301,0.8013,0.276,0.1924,0.7225,0.1471,0.5417,0.0679,0.0206,0.3665,9.6098,0.3542,5.2905,0.0647,0.6589,1.4695,3.0602,7.3907,11.2956,6.9023,3.5535,3.2697,2.3345,1.9322,0.4837,0.5776,1.2316,0.9092,0.271,0.1664,0.7236,0.1675,0.5181,0.07,0.0293,0.2966
dmk_112_T1,11.2078,0.4582,5.8319,0.0672,0.7022,2.1667,4.408,8.6216,13.0662,8.2162,5.3965,7.0681,3.3124,2.8574,0.5213,0.8374,1.3313,0.8374,0.3145,0.2271,0.7559,0.1315,0.5596,0.0722,0.0242,0.3535,11.0643,0.4345,5.8475,0.0878,0.8254,1.7212,4.2883,9.7804,12.9256,9.0968,5.5365,5.4963,2.9893,2.6796,0.5876,0.8812,1.419,0.9187,0.2994,0.2442,0.7272,0.1772,0.5465,0.068,0.0173,0.3229
dmk_113_T1,11.16,0.5657,5.6124,0.0545,0.6842,2.0554,3.878,7.9217,12.8365,8.0512,4.0707,5.406,2.8487,3.0501,0.5431,0.8675,1.5335,0.8162,0.3143,0.0996,0.7044,0.1203,0.5767,0.0469,0.0284,0.3467,11.2276,0.5931,5.6098,0.0923,0.8068,1.7207,4.1053,9.2482,13.4471,8.2801,4.6866,4.2687,2.912,2.753,0.5828,0.8769,1.5032,0.8721,0.3122,0.1329,0.6825,0.1715,0.5282,0.0569,0.0301,0.3001
dmk_114_T1,10.351,0.3025,5.9237,0.0526,0.5977,1.6822,3.5649,7.0579,11.7501,7.5105,3.8463,5.0819,2.6456,2.5998,0.4887,0.62,1.3907,0.8916,0.3171,0.2186,0.7999,0.1227,0.6111,0.0666,0.0302,0.3799,10.4877,0.3428,5.9334,0.0799,0.5953,1.3718,3.3602,7.5724,12.404,8.3517,4.2991,4.0691,2.6476,2.4203,0.4448,0.6324,1.4237,0.886,0.2824,0.239,0.7211,0.165,0.551,0.0657,0.0347,0.3348
